YEAR,APOPN,APOPDEP,APOPSNR,AGDPN,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,ARETS,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD
2012,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2013,1.0076,0.9975,1.0361,1.0394,1.0201,1.1508,1.0416,1.0148,1.0246,1.0167,1.0276,1.0026,1.0580,1.0047,1.0208,0.9003,0.8256,0.7821,1.0513,0.7289,0.8962
2014,1.0151,0.9955,1.0713,1.0733,1.0581,1.0802,1.0248,1.0309,0.9879,1.0128,1.0767,1.0511,1.0984,1.0892,1.0194,0.8399,0.9781,1.0933,1.0923,0.4673,0.8698
2015,1.0231,0.9952,1.1081,1.1159,1.1131,0.5533,1.0323,1.0322,0.9983,1.0256,1.1310,1.1077,1.1575,1.0972,1.0269,0.8404,1.1408,1.3973,1.1479,0.4257,0.9151
2016,1.0315,0.9961,1.1449,1.1489,1.1529,0.3845,1.0311,1.0453,1.0118,1.0418,1.1792,1.1515,1.2033,1.0960,1.0258,0.8480,1.1376,1.2531,1.1923,0.3329,0.9478
2017,1.0398,0.9974,1.1828,1.1947,1.2016,0.3154,1.0351,1.0688,1.0374,1.0597,1.2336,1.2085,1.2629,1.1002,1.0298,0.8820,1.1606,1.3914,1.2380,0.3318,0.9878
2018,1.0482,0.9989,1.2224,1.2447,1.2565,0.4730,1.0371,1.0928,1.0506,1.0763,1.2884,1.2493,1.3055,1.1023,1.0317,0.9215,1.2212,1.4382,1.3106,0.3243,1.0329
2019,1.0566,1.0005,1.2639,1.2898,1.3116,0.6183,1.0469,1.1180,1.0646,1.0908,1.3379,1.2885,1.3464,1.1127,1.0415,0.9875,1.2733,1.4402,1.4055,0.3510,1.0782
2020,1.0649,1.0015,1.3076,1.3342,1.3671,0.7510,1.0619,1.1446,1.0793,1.1037,1.3846,1.3262,1.3858,1.1287,1.0564,1.0760,1.3146,1.4772,1.5061,0.4150,1.1239
2021,1.0732,1.0033,1.3505,1.3845,1.4271,0.8838,1.0839,1.1725,1.0947,1.1167,1.4350,1.3700,1.4317,1.1521,1.0783,1.1830,1.3507,1.5240,1.6080,0.4620,1.1732
2022,1.0815,1.0063,1.3951,1.4392,1.4896,0.9862,1.1137,1.2003,1.1101,1.1292,1.4904,1.4210,1.4849,1.1837,1.1079,1.2779,1.3873,1.5785,1.7178,0.4919,1.2245
2023,1.0896,1.0092,1.4393,1.4964,1.5539,1.0567,1.1542,1.2291,1.1261,1.1419,1.5490,1.4771,1.5436,1.2268,1.1482,1.3635,1.4251,1.6370,1.8348,0.5175,1.2774
2024,1.0977,1.0116,1.4824,1.5560,1.6208,1.1162,1.1983,1.2583,1.1422,1.1547,1.6099,1.5372,1.6064,1.2737,1.1921,1.4401,1.4693,1.6994,1.9584,0.5399,1.3324
2025,1.1058,1.0142,1.5272,1.6179,1.6891,1.1743,1.2444,1.2883,1.1588,1.1676,1.6734,1.6004,1.6724,1.3226,1.2379,1.5090,1.5185,1.7656,2.0863,0.5633,1.3886
2026,1.1137,1.0165,1.5695,1.6823,1.7626,1.2019,1.2950,1.3193,1.1759,1.1807,1.7394,1.6665,1.7415,1.3764,1.2882,1.5817,1.5726,1.8358,2.2205,0.5879,1.4490
2027,1.1215,1.0184,1.6091,1.7492,1.8386,1.1992,1.3469,1.3510,1.1935,1.1939,1.8082,1.7357,1.8138,1.4316,1.3399,1.6562,1.6328,1.9079,2.3633,0.6082,1.5115
