YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD
2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013,1.012406,1.14212,1.033744,1.0148,1.0246,1.019849,0.995038,1.05002,0.997122,1.0131,0.893509,0.819373,0.776201,1.01467,0.7289,0.8962
2014,1.029588,0.931716,0.976602,1.015865,0.964181,1.04004,1.040628,1.030515,1.076095,0.99125,0.926018,1.175961,1.387575,1.004861,0.641103,0.970542
2015,1.043754,0.508215,0.999442,1.001261,1.010527,1.042218,1.045608,1.045565,0.999468,0.99948,0.992771,1.157223,1.268064,1.016001,0.910978,1.052081
2016,1.027321,0.689262,0.990704,1.012691,1.013523,1.034127,1.031076,1.031102,0.990772,0.990794,1.000826,0.989074,0.889498,1.005294,0.782006,1.035734
2017,1.033922,0.813738,0.995866,1.022482,1.025301,1.037782,1.041123,1.041153,0.995819,0.995886,1.031792,1.012074,1.101503,1.005058,0.996696,1.042203
2018,1.037309,1.487665,0.993903,1.022455,1.012724,1.036053,1.025477,1.025448,0.99388,0.993816,1.036412,1.043782,1.025352,1.024348,0.977396,1.045657
2019,1.035553,1.296796,1.001424,1.02306,1.013326,1.030164,1.023178,1.02313,1.00141,1.001473,1.063103,1.034374,0.99343,1.037197,1.082331,1.043857
2020,1.034191,1.205154,1.006422,1.023792,1.013808,1.026839,1.021237,1.021241,1.006473,1.006401,1.081128,1.024388,1.017696,1.035764,1.182336,1.042385
2021,1.035815,1.167729,1.012823,1.024375,1.014269,1.028385,1.025037,1.025132,1.012838,1.012837,1.090939,1.019515,1.023703,1.033743,1.113253,1.043865
2022,1.035784,1.1073,1.019608,1.02371,1.014068,1.030635,1.029266,1.029199,1.019543,1.019565,1.07193,1.019215,1.027812,1.034132,1.064719,1.043727
2023,1.035411,1.063521,1.028661,1.023994,1.014413,1.031592,1.031752,1.031803,1.028707,1.028671,1.059053,1.019611,1.029351,1.035309,1.052043,1.043201
2024,1.035356,1.048513,1.030547,1.023757,1.014297,1.031647,1.033009,1.033005,1.030568,1.030573,1.048385,1.023407,1.030458,1.036331,1.043285,1.043056
2025,1.034506,1.044345,1.030864,1.023842,1.014533,1.03183,1.033488,1.03346,1.030786,1.030813,1.040168,1.025915,1.031345,1.034058,1.043341,1.04218
2026,1.036112,1.016243,1.03328,1.024063,1.014757,1.032067,1.033916,1.033931,1.033295,1.033252,1.040742,1.028281,1.032384,1.03564,1.043671,1.043497
2027,1.035863,0.990814,1.032844,1.024028,1.014967,1.032324,1.03428,1.034272,1.032871,1.032899,1.039819,1.031059,1.032046,1.038117,1.03453,1.043133
